Recall,Hatırlamak/Geri çağırmak,I cannot recall meeting him before.,Onunla daha önce tanıştığımı hatırlamıyorum.
Receipt,Fiş/Makbuz,Keep the receipt in case you want to return it.,İade etmek isterseniz fişi saklayın.
Recession,Durgunluk (Ekonomi),The country is entering a deep economic recession.,Ülke derin bir ekonomik durgunluğa giriyor.
Recipient,Alıcı,The recipient of the award gave a speech.,Ödülün alıcısı bir konuşma yaptı.
Recognition,Tanıma/Takdir,He received recognition for his hard work.,Sıkı çalışması için takdir gördü.
Recommendation,Tavsiye,I went there on your recommendation.,Oraya senin tavsiyen üzerine gittim.
Reconcile,Barışmak/Uzlaşmak,They finally managed to reconcile their differences.,Sonunda farklılıklarını uzlaştırmayı başardılar.
Reconstruction,Yeniden inşa,The reconstruction of the bridge will take a year.,Köprünün yeniden inşası bir yıl sürecek.
Recovery,İyileşme/Kurtarma,The doctor expects a full recovery.,Doktor tam bir iyileşme bekliyor.
Recruit,İşe almak/Acemi,The company is looking to recruit new staff.,Şirket yeni personel işe almayı hedefliyor.
Rectify,Düzeltmek,Please rectify this mistake immediately.,Lütfen bu hatayı derhal düzeltin.
Recurring,Tekrarlayan,It is a recurring problem that needs a solution.,Çözüm gerektiren tekrarlayan bir sorundur.
Redundant,Gereksiz/Fazlalık,New technology made his job redundant.,Yeni teknoloji işini gereksiz hale getirdi.
Referendum,Referandum,The country held a referendum on independence.,Ülke bağımsızlık üzerine bir referandum düzenledi.
Refine,Arıtmak/Geliştirmek,You need to refine your writing style.,Yazı stilinizi geliştirmeniz gerekiyor.
Reflection,Yansıma/Düşünce,He saw his reflection in the mirror.,Aynada kendi yansımasını gördü.
Reform,Reform/Düzenlemek,The education system needs urgent reform.,Eğitim sisteminin acil reforma ihtiyacı var.
Refugee,Mülteci,The refugee camp provides shelter for thousands.,Mülteci kampı binlerce kişiye barınak sağlıyor.
Refusal,Ret,His refusal to cooperate made things difficult.,İşbirliği yapmayı reddetmesi işleri zorlaştırdı.
Regain,Yeniden kazanmak,She managed to regain control of the car.,Arabanın kontrolünü yeniden kazanmayı başardı.
Regard,Saymak/Bakmak,He is highly regarded in his profession.,Mesleğinde çok saygı görür (sayılır).
Regardless,Ne olursa olsun,I will do it regardless of the cost.,Maliyeti ne olursa olsun yapacağım.
Regime,Rejim/Yönetim,The military regime ruled for ten years.,Askeri rejim on yıl hüküm sürdü.
Registration,Kayıt,Registration begins at nine o'clock.,Kayıt saat dokuzda başlıyor.
Regulate,Düzenlemek,Laws regulate the sale of alcohol.,Yasalar alkol satışını düzenler.
Regulation,Yönetmelik/Düzenleme,Safety regulations must be strictly followed.,Güvenlik yönetmeliklerine sıkı bir şekilde uyulmalıdır.
Rehabilitate,Rehabilite etmek,The program aims to rehabilitate offenders.,Program suçluları rehabilite etmeyi amaçlıyor.
Reinforce,Güçlendirmek/Takviye,We need to reinforce the walls against the storm.,Duvarları fırtınaya karşı güçlendirmemiz gerekiyor.
Reject,Reddetmek,The committee rejected the proposal unanimously.,Komite teklifi oybirliğiyle reddetti.
Rejection,Reddedilme,Fear of rejection stops many people from trying.,Reddedilme korkusu birçok insanı denemekten alıkoyar.
Relate,İlişkilendirmek/Anlatmak,I cannot relate to his problems.,Sorunlarıyla ilişki kuramıyorum (anlayamıyorum).
Relationship,İlişki,They have a strong working relationship.,Güçlü bir iş ilişkileri var.
Relative,Akraba/Göreceli,The price is low relative to the quality.,Fiyat kaliteye göre (göreceli olarak) düşük.
Relaxation,Gevşeme/Rahatlama,Yoga is great for relaxation.,Yoga rahatlama için harikadır.
Release,Serbest bırakmak/Yayımlamak,The band will release a new album soon.,Grup yakında yeni bir albüm yayımlayacak.
Relevance,Alaka/İlgi,I don't see the relevance of your question.,Sorunuzun alakasını göremiyorum.
Reliability,Güvenilirlik,The reliability of the car is excellent.,Arabanın güvenilirliği mükemmeldir.
Relief,Rahatlama,It was a huge relief to hear the good news.,İyi haberi duymak büyük bir rahatlamaydı.
Relieve,Rahatlatmak/Hafifletmek,This medicine helps to relieve pain.,Bu ilaç ağrıyı hafifletmeye yardımcı olur.
Reluctant,İsteksiz/Gönülsüz,He was reluctant to admit his mistake.,Hatasını kabul etmekte isteksizdi.
Rely,Güvenmek/Bel bağlamak,You can rely on me for support.,Destek için bana güvenebilirsin.
Remainder,Kalan/Artan,We spent the remainder of the day at the beach.,Günün geri kalanını plajda geçirdik.
Remark,Yorum/Belirtmek,He made a rude remark about her dress.,Elbisesi hakkında kaba bir yorum yaptı.
Remarkable,Dikkat çekici/Olağanüstü,She has a remarkable memory for names.,İsimler konusunda dikkat çekici bir hafızası var.
Remedy,Çare/İlaç,There is no simple remedy for this problem.,Bu sorun için basit bir çare yok.
Reminder,Hatırlatıcı,This is a gentle reminder about the meeting.,Bu toplantı hakkında nazik bir hatırlatıcıdır.
Remnant,Kalıntı,The ruins are a remnant of the Roman Empire.,Harabeler Roma İmparatorluğu'nun bir kalıntısıdır.
Remote,Uzak,They live in a remote village in the mountains.,Dağlarda uzak bir köyde yaşıyorlar.
Removal,Kaldırma/Giderme,The removal of waste is expensive.,Atıkların kaldırılması pahalıdır.
Render,Hale getirmek/Sunmak,The shock rendered him speechless.,Şok onu konuşamaz hale getirdi.
Renew,Yenilemek,I need to renew my passport soon.,Pasaportumu yakında yenilemem gerekiyor.
Renewable,Yenilenebilir,Solar power is a renewable energy source.,Güneş enerjisi yenilenebilir bir enerji kaynağıdır.
Renowned,Ünlü/Meşhur,He is a world-renowned scientist.,O dünyaca ünlü bir bilim insanıdır.
Rental,Kiralık,We stayed in a rental cottage for the week.,Hafta boyunca kiralık bir kulübede kaldık.
Repay,Geri ödemek,I will repay the loan within six months.,Krediyi altı ay içinde geri ödeyeceğim.
Repeatedly,Defalarca,I have told you repeatedly not to do that.,Sana bunu yapmamanı defalarca söyledim.
Repel,Püskürtmek/İtmek,This spray repels insects effectively.,Bu sprey böcekleri etkili bir şekilde iter.
Replacement,Yedek/Yerine geçen,We need to find a replacement for the broken part.,Kırık parça için bir yedek (yerine geçecek) bulmamız gerekiyor.
Representation,Temsil,Fair representation is essential in democracy.,Demokraside adil temsil esastır.
Reproduction,Üreme/Çoğaltma,The reproduction of cells is a biological process.,Hücrelerin çoğalması biyolojik bir süreçtir.
Republic,Cumhuriyet,France is a republic.,Fransa bir cumhuriyettir.
Reputation,İtibar/Ün,The company has a solid reputation for quality.,Şirketin kalite konusunda sağlam bir itibarı var.
Requirement,Gereksinim/Şart,Fluency in English is a requirement for this job.,İngilizce akıcılığı bu iş için bir gerekliliktir.
Resemble,Benzemek/Andırmak,She resembles her mother very much.,Annesine çok benziyor.
Resent,İçerlemek/Kızmak,He resents being treated like a child.,Çocuk gibi davranılmasına içerliyor.
Reservation,Rezervasyon/Çekince,I have a reservation at the hotel.,Otelde bir rezervasyonum var.
Reside,İkamet etmek,He resides in a large apartment in the city.,Şehirde büyük bir dairede ikamet ediyor.
Residence,Konut/İkametgah,The Prime Minister's official residence.,Başbakanın resmi konutu.
Resident,Sakin (Bölge sakini),Local residents complained about the noise.,Yerel sakinler gürültüden şikayet etti.
Resign,İstifa etmek,He decided to resign from his position.,Pozisyonundan istifa etmeye karar verdi.
Resignation,İstifa,His resignation came as a surprise to everyone.,İstifası herkese sürpriz oldu.
Resistance,Direniş/Direnç,The troops faced strong resistance from the enemy.,Birlikler düşmandan güçlü bir direnişle karşılaştı.
Resolution,Çözüm/Karar,We hope for a peaceful resolution to the conflict.,Çatışmaya barışçıl bir çözüm umuyoruz.
Resolve,Çözmek/Karar vermek,They resolved to work harder next year.,Gelecek yıl daha sıkı çalışmaya karar verdiler (çözdüler).
Resort,Tatil yeri/Başvurmak,We stayed at a luxury resort in Spain.,İspanya'da lüks bir tatil yerinde kaldık.
Resource,Kaynak,Water is a precious natural resource.,Su değerli bir doğal kaynaktır.
Respective,Sırasıyla/Kendi,They went to their respective rooms.,Kendi odalarına gittiler.
Restore,Onarmak/Eski haline getirmek,They want to restore the old castle.,Eski kaleyi onarmak (restore etmek) istiyorlar.
Restrain,Dizginlemek/Tutmak,He had to restrain his anger.,Öfkesini dizginlemek zorunda kaldı.
Restriction,Kısıtlama,There are strict restrictions on alcohol sales.,Alkol satışlarında katı kısıtlamalar vardır.
Resume,Devam etmek/Özgeçmiş,The meeting will resume after lunch.,Toplantı öğle yemeğinden sonra devam edecek.
Retail,Perakende,He works in the retail sector.,Perakende sektöründe çalışıyor.
Retain,Muhafaza etmek/Korumak,The company managed to retain its best employees.,Şirket en iyi çalışanlarını muhafaza etmeyi başardı.
Retire,Emekli olmak,He plans to retire at the age of sixty.,Altmış yaşında emekli olmayı planlıyor.
Retreat,Geri çekilmek,The army was forced to retreat.,Ordu geri çekilmek zorunda kaldı.
Retrieve,Geri almak/Kurtarmak,I need to retrieve my bag from the car.,Çantamı arabadan geri almam gerekiyor.
Revelation,Vahiy/İfşa,The revelation of the secret shocked everyone.,Sırrın ifşası herkesi şok etti.
Revenge,İntikam,He sought revenge for the insult.,Hakaretin intikamını aradı.
Revenue,Gelir/Hasılat,Tax revenue increased this year.,Vergi geliri bu yıl arttı.
Reverse,Tersine çevirmek/Geri,Please reverse the car into the garage.,Lütfen arabayı garaja geri geri sokun.
Revision,Gözden geçirme/Düzeltme,The book needs some revision before publication.,Kitabın yayınlanmadan önce biraz gözden geçirilmeye ihtiyacı var.
Revival,Canlanma/Diriliş,There has been a revival of interest in folk music.,Halk müziğine olan ilgide bir canlanma oldu.
Revive,Canlandırmak/Diriltmek,The doctors tried to revive the patient.,Doktorlar hastayı canlandırmaya çalıştılar.
Revolutionary,Devrim niteliğinde,This is a revolutionary new product.,Bu devrim niteliğinde yeni bir üründür.
Rhetoric,Retorik/Hitabet,His speech was full of empty rhetoric.,Konuşması boş retorikle doluydu.
Ridiculous,Gülünç/Saçma,That is a ridiculous idea.,Bu gülünç bir fikir.
Rigid,Sert/Katı,The rules are rigid and cannot be changed.,Kurallar katıdır ve değiştirilemez.
Rigorous,Titiz/Sıkı,The training program is very rigorous.,Eğitim programı çok titizdir (sıkıdır).
Riot,İsyan/Ayaklanma,The protest turned into a violent riot.,Protesto şiddetli bir isyana dönüştü.
Risk,Risk,Taking risks is part of business.,Risk almak işin bir parçasıdır.
Ritual,Ritüel/Ayin,Morning coffee is a daily ritual for me.,Sabah kahvesi benim için günlük bir ritüeldir.
Rival,Rakip,He beat his closest rival in the race.,Yarışta en yakın rakibini yendi.
Robust,Güçlü/Sağlam,The economy remains robust despite the crisis.,Krize rağmen ekonomi güçlü (sağlam) kalmaya devam ediyor.
Romance,Romantizm,They had a whirlwind summer romance.,Hızlı bir yaz aşkı (romantizmi) yaşadılar.
Rot,Çürümek,The fruit began to rot in the heat.,Meyve sıcakta çürümeye başladı.
Rotation,Dönüş/Rotasyon,The earth completes one rotation every day.,Dünya her gün bir dönüşü tamamlar.
Roughly,Kabaca/Yaklaşık,There were roughly two hundred people there.,Orada kabaca iki yüz kişi vardı.
Route,Rota/Güzergah,We took the scenic route to the coast.,Sahile giden manzaralı rotayı seçtik.
Routine,Rutin,Exercise has become part of my daily routine.,Egzersiz günlük rutinimin bir parçası haline geldi.
Ruin,Mahvetmek/Harabe,The rain ruined our picnic plans.,Yağmur piknik planlarımızı mahvetti.
Rumor,Söylenti,There is a rumor that he is resigning.,İstifa ettiğine dair bir söylenti var.
Rural,Kırsal,She grew up in a rural area.,Kırsal bir bölgede büyüdü.
Ruthless,Acımasız,He is a ruthless businessman who destroys competitors.,Rakiplerini yok eden acımasız bir iş adamıdır.
English,Turkish,EnSample,TrSample
Sacrifice,Fedakarlık/Kurban,Parents often make sacrifices for their children.,Ebeveynler çocukları için sık sık fedakarlık yaparlar.
Safety,Güvenlik,Safety precautions must be taken at all times.,Güvenlik önlemleri her zaman alınmalıdır.
Salary,Maaş,She negotiated a higher salary for the new job.,Yeni iş için daha yüksek bir maaş pazarlığı yaptı.
Sample,Örnek/Numune,Please provide a sample of your work.,Lütfen çalışmanızın bir örneğini sağlayın.
Sanction,Yaptırım/Onay,The UN imposed sanctions on the country.,BM ülkeye yaptırımlar uyguladı.
Satisfaction,Memnuniyet,Customer satisfaction is our top priority.,Müşteri memnuniyeti en büyük önceliğimizdir.
Scale,Ölçek/Tartı,The earthquake measured 6 on the Richter scale.,Deprem Richter ölçeğinde 6 olarak ölçüldü.
Scan,Taramak,The doctor scanned his brain for injuries.,Doktor yaralanmalar için beynini taradı.
Scandal,Skandal,The political scandal shocked the nation.,Siyasi skandal ulusu şok etti.
Scarce,Kıt/Nadir,Food was scarce during the war.,Savaş sırasında yiyecek kıttı.
Scenario,Senaryo,Let's consider the worst-case scenario.,En kötü durum senaryosunu düşünelim.
Schedule,Program/Takvim,The train is running ahead of schedule.,Tren programın önünde gidiyor.
Scheme,Plan/Tasarı,They devised a scheme to make money quickly.,Hızlı para kazanmak için bir plan (tasarı) geliştirdiler.
Scholar,Bilgin/Alim,He is a renowned scholar of ancient history.,Antik tarih konusunda ünlü bir bilgindir.
Scholarship,Burs,She won a scholarship to study at Oxford.,Oxford'da okumak için bir burs kazandı.
Scope,Kapsam/Alan,The scope of the project has expanded.,Projenin kapsamı genişledi.
Scratch,Kaşımak/Çizmek,Don't scratch the mosquito bite.,Sivrisinek ısırığını kaşıma.
Screen,Ekran/Elemek,Security guards screen all luggage at the airport.,Güvenlik görevlileri havaalanında tüm bagajları tarar (eler).
Script,Senaryo/Metin,The actor forgot his lines from the script.,Aktör senaryodan repliklerini unuttu.
Scrutiny,İnceleme/Dikkatli bakış,The contract is under close scrutiny by lawyers.,Sözleşme avukatlar tarafından yakın inceleme altında.
Sculpture,Heykel,The museum features a collection of modern sculpture.,Müze modern heykel koleksiyonuna sahiptir.
Seal,Mühürlemek/Fok,He sealed the envelope with wax.,Zarfı balmumu ile mühürledi.
Sector,Sektör,The manufacturing sector is growing rapidly.,İmalat sektörü hızla büyüyor.
Secular,Laik/Seküler,France is a secular state.,Fransa laik bir devlettir.
Secure,Güvenli/Sağlamak,Ensure the connection is secure before logging in.,Giriş yapmadan önce bağlantının güvenli olduğundan emin olun.
Seek,Aramak/İstemek,Refugees seek safety in neighboring countries.,Mülteciler komşu ülkelerde güvenlik ararlar.
Segment,Bölüm/Parça,We targeted a specific segment of the market.,Pazarın belirli bir bölümünü hedefledik.
Seize,Ele geçirmek/Yakalamak,The police seized the stolen goods.,Polis çalınan malları ele geçirdi.
Select,Seçmek,Please select your preferred language.,Lütfen tercih ettiğiniz dili seçin.
Selection,Seçim,The shop offers a wide selection of shoes.,Mağaza geniş bir ayakkabı seçeneği sunuyor.
Semester,Dönem (Akademik),The fall semester begins in September.,Güz dönemi Eylülde başlar.
Seminar,Seminer,I attended a seminar on digital marketing.,Dijital pazarlama üzerine bir seminere katıldım.
Senior,Kıdemli/Yaşlı,He is a senior executive in the company.,Şirkette kıdemli bir yöneticidir.
Sensation,His/Duygu,I felt a strange sensation in my arm.,Kolumda garip bir his hissettim.
Sensible,Mantıklı/Makul,It was a sensible decision to save money.,Para biriktirmek mantıklı bir karardı.
Sensitive,Hassas/Duyarlı,She is very sensitive to criticism.,Eleştiriye karşı çok hassastır.
Sentence,Cümle/Hüküm,The judge passed a harsh sentence on the criminal.,Yargıç suçluya ağır bir hüküm verdi.
Sentiment,Duygu/Hissiyat,Public sentiment has turned against the war.,Kamu hissiyatı savaşa karşı döndü.
Sequence,Sıra/Dizi,The numbers must be in the correct sequence.,Sayılar doğru sırada olmalıdır.
Session,Oturum/Toplantı,The training session lasted for three hours.,Eğitim oturumu üç saat sürdü.
Setback,Aksilik/Gerileme,The injury was a major setback for his career.,Sakatlık kariyeri için büyük bir aksilikti.
Setting,Ortam/Ayar,The story takes place in a rural setting.,Hikaye kırsal bir ortamda geçiyor.
Settle,Yerleşmek/Çözmek,They decided to settle in Canada.,Kanada'ya yerleşmeye karar verdiler.
Settlement,Yerleşim/Anlaşma,The two sides reached a peaceful settlement.,İki taraf barışçıl bir anlaşmaya vardı.
Severe,Şiddetli/Ciddi,He suffered severe injuries in the crash.,Kazada şiddetli yaralar aldı.
Shame,Utanç/Yazık,It is a shame that you can't come.,Gelemiyor olman yazık.
Shape,Şekil/Şekillendirmek,Education helps to shape a child's future.,Eğitim bir çocuğun geleceğini şekillendirmeye yardımcı olur.
Shareholder,Hissedar,Shareholders voted to approve the merger.,Hissedarlar birleşmeyi onaylamak için oy kullandı.
Shatter,Paramparça etmek,The explosion shattered the windows.,Patlama pencereleri paramparça etti.
Shelter,Barınak/Sığınak,They sought shelter from the storm.,Fırtınadan sığınacak bir yer (barınak) aradılar.
Shift,Vardiya/Değiştirmek,He works the night shift at the factory.,Fabrikada gece vardiyasında çalışıyor.
Shortage,Kıtlık/Eksiklik,There is a shortage of skilled workers.,Nitelikli işçi kıtlığı var.
Significance,Önem/Anlam,He didn't understand the significance of the event.,Olayın önemini anlamadı.
Significant,Önemli/Belirgin,There was a significant improvement in his health.,Sağlığında belirgin bir iyileşme vardı.
Simulate,Simüle etmek/Taklit,The computer simulates real-world driving conditions.,Bilgisayar gerçek dünya sürüş koşullarını simüle eder.
Simultaneous,Eşzamanlı,There were simultaneous explosions in the city.,Şehirde eşzamanlı patlamalar oldu.
Sincere,Samimi/İçten,Please accept my sincere apologies.,Lütfen samimi özürlerimi kabul edin.
Site,Site/Alan,Construction site.,İnşaat alanı.
Situation,Durum,We need to assess the situation carefully.,Durumu dikkatlice değerlendirmemiz gerekiyor.
Skeptical,Şüpheci,I am skeptical about his claims.,İddiaları hakkında şüpheciyim.
Skill,Beceri/Yetenek,She has great skill in negotiation.,Müzakere konusunda büyük bir becerisi var.
Slash,Kesmek (Fiyat/Harcama),The company slashed prices to boost sales.,Şirket satışları artırmak için fiyatları kesti (büyük indirim yaptı).
Slavery,Kölelik,Slavery was abolished in the 19th century.,Kölelik 19. yüzyılda kaldırıldı.
Slide,Kaymak,Be careful not to slide on the ice.,Buzda kaymamaya dikkat edin.
Slight,Hafif/Az,There is a slight chance of rain.,Hafif bir yağmur ihtimali var.
Slope,Eğim/Yamaç,We skied down the steep slope.,Dik yamaçtan aşağı kayak yaptık.
Slot,Yuva/Zaman aralığı,Insert the coin into the slot.,Madeni parayı yuvaya sokun.
Smart,Akıllı/Şık,He wore a smart suit to the interview.,Mülakata şık bir takım elbise giydi.
Smooth,Pürüzsüz/Sorunsuz,The flight was smooth and comfortable.,Uçuş pürüzsüz ve rahattı.
Soak,Islatmak/Sırılsıklam olmak,Soak the beans in water overnight.,Fasulyeleri bir gece suda bekletin (ıslatın).
Soar,Hızla yükselmek/Süzülmek,Temperatures are expected to soar this week.,Sıcaklıkların bu hafta hızla yükselmesi bekleniyor.
Social,Sosyal,Humans are social animals.,İnsanlar sosyal hayvanlardır.
Solar,Güneş (ile ilgili),Solar panels generate electricity from the sun.,Güneş panelleri güneşten elektrik üretir.
Solely,Sadece/Yalnızca,He is solely responsible for the mistake.,Hatadan sadece o sorumludur.
Solicitor,Avukat (İngiltere),Contact your solicitor for legal advice.,Yasal tavsiye için avukatınızla iletişime geçin.
Solidarity,Dayanışma,Workers showed solidarity with the strike.,İşçiler grevle dayanışma gösterdi.
Solitary,Yalnız/Tek başına,He leads a solitary life in the mountains.,Dağlarda yalnız bir hayat sürüyor.
Solution,Çözüm,We need to find a solution quickly.,Hızlıca bir çözüm bulmamız gerekiyor.
Sophisticated,Gelişmiş/Sofistike,Modern weapons are highly sophisticated.,Modern silahlar son derece gelişmiştir.
Source,Kaynak,Renewable energy sources are the future.,Yenilenebilir enerji kaynakları gelecektir.
Sovereign,Egemen/Hükümdar,Every nation has the right to be sovereign.,Her ulusun egemen olma hakkı vardır.
Span,Kapsamak/Süre,His career spanned over four decades.,Kariyeri dört on yılı aşkın bir süreyi kapsadı.
Spark,Kıvılcım/Ateşlemek,The incident sparked a heated debate.,Olay ateşli bir tartışmayı ateşledi.
Specialist,Uzman,He is a specialist in heart surgery.,Kalp cerrahisinde bir uzmandır.
Specific,Özel/Belirli,Is there anything specific you want to eat?,Yemek istediğin özel bir şey var mı?
Specimen,Örnek/Numune,The scientist collected a soil specimen.,Bilim insanı bir toprak örneği topladı.
Spectacular,Muhteşem/Görkemli,The fireworks display was spectacular.,Havai fişek gösterisi muhteşemdi.
Spectrum,Spektrum/Yelpaze,A wide spectrum of opinions was expressed.,Geniş bir görüş yelpazesi ifade edildi.
Speculate,Spekülasyon yapmak/Tahmin,Journalists speculate about the election results.,Gazeteciler seçim sonuçları hakkında spekülasyon yapıyor.
Sphere,Küre/Alan,It is outside my sphere of influence.,Bu benim etki alanımın dışında.
Spiritual,Ruhsal/Manevi,Yoga is a physical and spiritual practice.,Yoga fiziksel ve ruhsal bir uygulamadır.
Spite,İnat/Kin,He did it out of spite.,Bunu inat olsun diye yaptı.
Sponsor,Sponsor olmak,The company sponsors the local football team.,Şirket yerel futbol takımına sponsor oluyor.
Spot,Yer/Leke/Fark etmek,I spotted a mistake in the report.,Raporda bir hata fark ettim.
Stability,İstikrar/Denge,Political stability is essential for growth.,Siyasi istikrar büyüme için esastır.
Stable,İstikrarlı/Sabit,The patient is in a stable condition.,Hastanın durumu istikrarlı.
Stake,Risk/Pay,Thousands of jobs are at stake.,Binlerce iş risk altında.
Stance,Duruş/Tutum,What is your stance on this issue?,Bu konudaki duruşunuz nedir?
Standard,Standart,We maintain high standards of quality.,Yüksek kalite standartlarını koruyoruz.
Stark,Sert/Çıplak,There is a stark contrast between rich and poor.,Zengin ve fakir arasında sert bir tezat var.
State,Durum/Devlet/Belirtmek,Please state your name and address.,Lütfen adınızı ve adresinizi belirtin.
Statement,İfade/Beyan,The witness gave a statement to the police.,Tanık polise bir ifade verdi.
Statistic,İstatistik,Statistics show that crime is decreasing.,İstatistikler suçun azaldığını gösteriyor.
Status,Statü/Durum,What is the status of the project?,Projenin durumu nedir?
Statute,Yasa/Kanun,The new statute prohibits smoking indoors.,Yeni yasa kapalı alanlarda sigara içmeyi yasaklıyor.
Steady,Düzenli/Sabit,Slow and steady wins the race.,Yavaş ve düzenli olan yarışı kazanır.
Stem,Sap/Kaynaklanmak,The problem stems from a lack of communication.,Sorun iletişim eksikliğinden kaynaklanıyor.
Stereotype,Stereotip/Kalıp yargı,We need to break the stereotype about women drivers.,Kadın sürücüler hakkındaki kalıp yargıyı kırmamız gerekiyor.
Stimulate,Uyarmak/Teşvik etmek,Coffee stimulates the nervous system.,Kahve sinir sistemini uyarır.
Stimulus,Uyarıcı/Teşvik,The tax cut provided a stimulus to the economy.,Vergi indirimi ekonomiye bir teşvik sağladı.
Stock,Stok/Hisse senedi,We invest in the stock market.,Borsaya (hisse senedi piyasasına) yatırım yapıyoruz.
Storage,Depolama,We need more storage space for files.,Dosyalar için daha fazla depolama alanına ihtiyacımız var.
Straightforward,Basit/Açık,The instructions were simple and straightforward.,Talimatlar basit ve açıktı.
Strain,Gerginlik/Zorlanma,The stress put a strain on his heart.,Stres kalbinde bir zorlanmaya neden oldu.
Strategic,Stratejik,This is a strategic location for the military.,Bu ordu için stratejik bir konumdur.
Strategy,Strateji,We need a new marketing strategy.,Yeni bir pazarlama stratejisine ihtiyacımız var.
Strengthen,Güçlendirmek,Exercise helps to strengthen muscles.,Egzersiz kasları güçlendirmeye yardımcı olur.
Stress,Stres/Vurgulamak,He stressed the importance of punctuality.,Dakikliğin önemini vurguladı.
Strict,Sıkı/Katı,My parents are very strict about homework.,Ailem ödev konusunda çok sıkıdır.
Strike,Grev/Vurmak,The workers went on strike for higher wages.,İşçiler daha yüksek ücretler için greve gitti.
Striking,Çarpıcı/Dikkat çekici,There is a striking resemblance between them.,Aralarında çarpıcı bir benzerlik var.
Structural,Yapısal,The building suffered structural damage.,Bina yapısal hasar gördü.
Structure,Yapı,The social structure of the country is changing.,Ülkenin sosyal yapısı değişiyor.
Struggle,Mücadele etmek/Çabalamak,He struggled to support his family.,Ailesini geçindirmek için mücadele etti (çabaladı).
Subconscious,Bilinçaltı,Dreams are a product of the subconscious mind.,Rüyalar bilinçaltı zihnin bir ürünüdür.
Subjective,Öznel,Beauty is a subjective concept.,Güzellik öznel bir kavramdır.
Submit,Sunmak/Teslim etmek,Please submit your report by Friday.,Lütfen raporunuzu Cuma gününe kadar sunun.
Subordinate,Ast/İkincil,He treats his subordinates with respect.,Astlarına saygılı davranır.
Subscribe,Abone olmak,Subscribe to our newsletter for updates.,Güncellemeler için bültenimize abone olun.
Subsequent,Sonraki/Müteakip,Subsequent events proved him right.,Sonraki olaylar onu haklı çıkardı.
Subsidy,Sübvansiyon/Destek,Farmers receive a government subsidy.,Çiftçiler devlet desteği (sübvansiyon) alırlar.
Substance,Madde,Water is a vital substance for life.,Su yaşam için hayati bir maddedir.
Substantial,Önemli/Büyük,He donated a substantial amount of money.,Önemli miktarda para bağışladı.
Substitute,Yedek/Yerine geçmek,You can substitute honey for sugar.,Şeker yerine bal kullanabilirsiniz.
Subtle,İnce/Hafif,There was a subtle change in her attitude.,Tavrında ince bir değişiklik vardı.
Subtract,Çıkarmak (Matematik),Subtract five from ten to get five.,Beş elde etmek için ondan beşi çıkarın.
Suburb,Banliyö,They live in a quiet suburb of London.,Londra'nın sessiz bir banliyösünde yaşıyorlar.
Succeed,Başarmak,Determination helps you succeed in life.,Kararlılık hayatta başarılı olmanıza yardımcı olur.
Succession,Ardışıklık/Sıra,A succession of scandals hit the government.,Hükümeti ardışık skandallar vurdu.
Successive,Ardışık/Peş peşe,It rained for three successive days.,Üç gün peş peşe yağmur yağdı.
Successor,Halef/Varis,Who will be the successor to the throne?,Tahtın halefi kim olacak?
Sufficient,Yeterli,We have sufficient food for everyone.,Herkes için yeterli yiyeceğimiz var.
Suicide,İntihar,He committed suicide due to depression.,Depresyon nedeniyle intihar etti.
Summit,Zirve (Toplantı/Dağ),World leaders attended the climate summit.,Dünya liderleri iklim zirvesine katıldı.
Superb,Mükemmel/Harika,The food at the restaurant was superb.,Restorandaki yemek mükemmeldi.
Superintendent,Müdür/Amir,The police superintendent led the investigation.,Polis amiri soruşturmayı yönetti.
Superior,Üstün/Amir,He always acts superior to everyone else.,Her zaman diğer herkesten üstünmüş gibi davranır.
Supervise,Denetlemek/Gözetmek,She supervises a team of ten people.,On kişilik bir ekibi denetliyor.
Supplement,Takviye/Ek,Vitamin supplements can improve health.,Vitamin takviyeleri sağlığı iyileştirebilir.
Supply,Tedarik etmek/Arz,The dam supplies water to the city.,Baraj şehre su tedarik eder.
Supportive,Destekleyici,Her family was very supportive during her illness.,Hastalığı sırasında ailesi çok destekleyiciydi.
Suppress,Bastırmak,The government tried to suppress the news.,Hükümet haberleri bastırmaya çalıştı.
Supreme,Yüce/En yüksek,The Supreme Court is the highest court.,Yüksek Mahkeme en yüksek mahkemedir.
Surge,Dalgalanma/Artış,There was a sudden surge in electricity demand.,Elektrik talebinde ani bir artış oldu.
Surgeon,Cerrah,The surgeon performed a complex operation.,Cerrah karmaşık bir ameliyat gerçekleştirdi.
Surgery,Ameliyat/Cerrahi,He is recovering from knee surgery.,Diz ameliyatından iyileşiyor.
Surplus,Fazlalık/Artı,The country has a trade surplus.,Ülkenin ticaret fazlası var.
Surrender,Teslim olmak,The enemy troops were forced to surrender.,Düşman birlikleri teslim olmaya zorlandı.
Surveillance,Gözetim,The bank is under 24-hour surveillance.,Banka 24 saat gözetim altındadır.
Survey,Anket/Araştırma,We conducted a survey to gauge public opinion.,Kamuoyunu ölçmek için bir anket yaptık.
Survival,Hayatta kalma,Survival in the desert is difficult.,Çölde hayatta kalmak zordur.
Suspect,Şüpheli/Şüphelenmek,The police suspect him of robbery.,Polis onun soygun yaptığından şüpheleniyor.
Suspend,Askıya almak/Asmak,The flight was suspended due to fog.,Sis nedeniyle uçuş askıya alındı.
